ABACERO|Persona que tiene por oficio vender aceite, vinagre, legumbres secas, etc.
ABACIAL|Perteneciente o relativo al abad, a la abadesa o a la abadía
ÁBACO|Todo instrumento que sirve para efectuar manualmente cálculos aritméticos mediante marcadores deslizables
ABACÓMITE|Persona del séquito de un potentado
ABACOTE|Corona doble y sin adornos usada antiguamente por los reyes ingleses
ABÁCULO|Cubo o cuadrito de cristal, que imita una o varias piedras de colores diferentes
ABAD|Superior de un monasterio con facultad de conferir órdenes menores a sus monjes
ABADEJO|Pez marino de cuerpo alargado, mandíbula prominente, color pardo oliva y hasta 10 kg. de peso, parecido al bacalao
ABADEJO|Pez marino teleósteo gadiforme de cuerpo alargado, color pardo oliva y hasta 10 kg. de peso, parecido al bacalao
ABADEJO|Pez marino teleósteo gadiforme de cuerpo alargado, mandíbula prominente, color pardo oliva y hasta 10 kg de peso, parecido al bacalao
ABADEJO|Pez marino teleósteo gadiforme de cuerpo alargado, mandíbula prominente, color pardo oliva y hasta 10 kg. de peso, parecido al bacalao
ABADENGO|Perteneciente o relativo a la dignidad o jurisdicción del abad
ABADESA|Superiora en ciertos monasterios de religiosas
ABADÍA|Iglesia o monasterio regido por un abad o abadesa
ABALANZAR|Lanzarse, arrojarse en dirección a alguien o algo
ABALIZADO|Señalado con balizas
ABALIZAR|Señalar con balizas las pistas de los aeropuertos y aeródromos, o las desviaciones en las carreteras
ABALORIO|Cuentecilla de vidrio agujereada con que se hacen adornos y labores
ABALORIOS|Pequeños objetos, normalmente redondos y perforados, que se pueden ensartar en forma de collares o brazaletes
ABALORIOS|Pequeños objetos, normalmente redondos y perforados, que se pueden ensartar en forma de collares o pulseras
ABANDERAR|Matricular bajo la bandera de un Estado un buque extranjero
ABANDONA|Deja desamparada a una persona o cosa
ABANDONAR|Dejar desamparada a una persona o cosa
ABANDONO|Desaliño, negligencia, etc.
ABANICAR|Hacer aire con el abanico
ABANICO|Instrumento empleado para mover el aire próximo y aliviar la sensación de calor
ABANIQUEO|Fig. Acción de mover exageradamente las manos
ABARAJAR|Argent., Parag., Urug. Recoger una cosa en el aire
ABARATAR|Disminuir o bajar el precio de una cosa
ABARCA|Toma uno a su cargo muchas cosas a un tiempo
ABARCAR|Tomar uno a su cargo muchas cosas a un tiempo
ABARCÓN|En los coches antiguos, aro de hierro que afianzaba la lanza dentro de la punta de la tijera
ABARLOAR|Situar un buque de costado casi en contacto con otro buque o con un muelle, etc.
ABARQUERO|Persona que tiene por oficio hacer o vender abarcas
ABARROTAR|Atestar de personas o cosas un local
ABARSE|Apartarse, quitarse del paso
ABASTECE|Provee, aprovisiona
ABASTECER|Proveer, aprovisionar
ABASTERO|14Chile. Comprador de reses vivas, destinadas al matadero
ABASTERO|Chile. Comprador de reses vivas, destinadas al matadero
ABASTO|Provisión de víveres
ABATATADO|R. de la Plata. Abatido, avergonzado
ABATATAR|Turbar, apocar, confundir
ABATE|Clérigo extranjero, especialmente italiano o francés
ABATIBLE|Que se puede derribar o echar por tierra
ABATIBLES|Que se pueden derribar o echar por tierra
ABATIDO|Que ha perdido el ánimo, las fuerzas
ABATISMO|Poder de los abates o conjunto de abates
ABDICAR|Renunciar una dignidad soberana
ABDOMEN|Vientre, barriga, panza
ABDUCCIÓN|Fil. Silogismo cuya premisa mayor es evidente y la menor menos evidente o solo probable
ABDUCCIÓN|Movimiento por el cual un miembro u otro órgano se aleja del plano medio que divide imaginariamente el cuerpo en dos partes simétricas
ABDUCIR|Razonar por abducción o con abducción
ABEDUL|Árbol betuláceo de las altas montañas, de corteza plateada, ramas flexibles y colgantes y hojas alternas aovadas
ABEDULES|Árboles betuláceos de las altas montañas, de corteza plateada, ramas flexibles y colgantes, hojas alternas aovadas, y fruto en sámaras
ABEJA|Insecto himenóptero que vive en sociedad y produce la cera y la miel
ABEJARUCO|Nombre común de los miembros de una familia de pájaros cuya dieta está compuesta casi por completo de abejas y avispas
ABEJARUCO|Nombre común de un pájaro cuya dieta está compuesta casi por completo de abejas y avispas
ABEJERO|Persona que tiene colmenas o cuida de ellas
ABEJORREO|Zumbido de las abejas
ABEJORRO|Insecto himenóptero, velludo, con la trompa muy desarrollada y zumba mucho al volar
ABEJUELA|Abeja pequeña
ABEMOLAR|Suavizar, dulcificar la voz
ABERDEEN|2(-Angus) Una de las principales razas de ganado para carne
ABERDEEN|(~ - Angus) Una de las principales razas de ganado para carne
ABERDEEN|(~-Angus) Una de las principales razas de ganado para carne
ABERDEEN|(~-Angus) Una de las principales razas de ganado para carne
ABERRANTE|Que se separa de la norma o regla general
ABERRAR|Errar, equivocarse
ABERTAL|Campo rústico que no está cerrado de ninguna manera
ABERTURA|Hueco practicado en una fachada, como una puerta, una ventana, etc.
ABERTURA|Hueco practicado en una fachada, como una ventana, un balcón, etc.
ABETAL|Sitio poblado de abetos
ABETUNADO|Parecido al betún
ABICHARSE|Argent., Urug. Agusanarse la fruta
ABIERTO|No cerrado
ABIGARRAR|Poner a una cosa varios colores combinados en desorden
ABIGEATO|Der. Hurto de ganado o bestias
ABIGEO|El que hurta ganado o bestias
ABIÓLOGO|Persona que se dedica al estudio de la vida inorgánica
ABIPONES|Pueblo indígena, ya extinguido, del Chaco argentino
ABISELAR|Hacer biseles en un cristal, una moldura, etc.
ABISINIA|Nombre con que antiguamente se conocía a Etiopía
ABISINIA|Nombre con que antiguamente se conocía a Etiopía
ABISINIO|De Abisinia, actual Etiopía, nación del nordeste de África
ABISMADO|Ensimismado, reconcentrado
ABISMAL|Profundo, insondable, incomprensible
ABISMO|Profundidad grande, imponente y peligrosa
ABLACIÓN|Med. Separación o extirpación de cualquier parte del cuerpo
ABLACTADO|Que se le ha incorporado leche
ABLACTAR|Incorporar leche a una salsa o masa
ABLANDAR|Poner blanda una cosa
ABLANDE|Argent., Urug. Rodaje de un automóvil
ABLANDECE|Ablanda, pone blando
ABLEPSIA|Pérdida de la vista
ABLUENTE|Que tiene la virtud de limpiar o purificar
ABNEGADO|Sacrificado, que tiene abnegación
ABOBADO|Que parece bobo
ABOCADO|Vino que no es seco ni dulce, pero agradable al gusto
ABOCADO|Vino que no es seco ni dulce, pero agradable al gusto por su suavidad
ABOCARDAR|Ensanchar la boca de un tubo o de un agujero
ABOCELADO|Que tiene forma de bocel
ABOCELAR|Caer de bruces
ABOCETAR|Hacer el boceto de un cuadro o escultura
ABOCHORNA|Causa bochorno a uno.// Fig. Sonroja
ABOFETEAR|Dar bofetadas a uno
ABOGACÍA|Profesión y ejercicio de abogado
ABOGADIL|Desp. Propio de abogados
ABOGADO|Licenciado en derecho
ABOGAR|Defender en juicio.// Fig. Interceder, hablar en favor de alguien
ABOLENGO|Ascendencia de abuelos o antepasados
ABOLIBLE|Que puede ser abolido
ABOLICIÓN|Acción y efecto de abolir
ABOLIR|Derogar, dejar sin vigor un precepto, una ley, etc.
ABOLLADO|Adorno de bollos en los metales y vestidos
ABOLLAR|Hacer a una cosa uno o varios bollos
ABOLLONAR|Repujar una pieza formando bollones
ABOLSADO|Que hace o forma bolsas
ABOLSARSE|Tomar figura de bolsa
ABOMASO|Cuajar, última de las cuatro cavidades en que se divide el estómago de los rumiantes
ABOMBADO|Amér. Que está achispado, ebrio, aturdido o atontado
ABOMBADO|Amér. Que está achispado, ebrio, aturdido o entontecido
ABOMBAR|Dar o adquirir forma convexa alguna cosa
ABOMBARSE|Fig. Aturdirse por ruido, exceso en la bebida, etc.
ABOMINAR|Aborrecer, tener aversión por una persona o cosa
ABONADO|Persona que ha tomado un abono
ABONANZAR|Calmarse la tormenta o serenarse el tiempo
ABONO|Sustancia mineral u orgánica que se añade a la tierra para fertilizarla
ABORDAJE|Acción de pasar la gente de un buque a otro
ABORDONA|Anda apoyándose en un bordón
ABORDONAR|Andar apoyándose en un bordón
ABORIGEN|Primitivo morador de un país
ABORRECER|Tener aversión a alguna persona o cosa
ABOTINADO|Hecho en figura de botín
ABOTONA|Ajusta una prenda de vestir con botones
ABOTONADO|Ajustado con botones
ABOTONAR|Ajustar una prenda de vestir con botones
ABOVADO|Que tiene su parte más ancha por encima de la central
ABOVEDADO|Corvo, combado, con forma de bóveda
ABOVEDAR|Dar figura de bóveda
ABOZALADO|Que tiene puesto bozal
ABOZALAR|Poner bozal a un animal
ABRANQUIO|Que carece de branquias
ABRASADO|Reducido a brasa
ABRASADOR|Que destruye o deteriora por exceso de calor
ABRASANTE|Que produce demasiado calor
ABRASAR|Reducir alguna cosa a brasa
ABRASIÓN|Acción de quitar o arrancar algo por fricción
ABRASIVO|Material duro que sirve para pulir, cortar o afilar
ABRAZADOR|Que abraza
ABRAZAR|Estrechar a uno entre los brazos en señal de cariño
ABRELATAS|Instrumento para abrir las latas de conservas
ABREPUÑO|Planta ranunculácea, con hojas superiores muy divididas y flores amarillas
ABREVAR|Dar de beber al ganado
ABREVIAR|Acortar, reducir a menos tiempo y espacio
ABRIBOCA|Persona muy distraída que no advierte lo que sucede o se dice a su lado
ABRIDERO|Que se abre fácilmente
ABRIDOR|Abrebotellas, abrelatas
ABRIGADO|Protegido o resguardado del frío
ABRIGAR|Defender, proteger, resguardar del viento, del frío, etc.
ABRIGO|Defensa contra el frío
ABRILEÑO|Propio del mes de abril
ABRILEÑOS|Propios del mes de abril
ABRILES|Fig. Años de la primera juventud
ABRIR|Tirar hacia afuera de un cajón sin sacarlo del todo
ABROCHAR|Cerrar o ajustar una prenda de vestir con broches, botones, etc.
ABROJAL|Terreno poblado de abrojos
ABRUMADO|Agobiado.// Fig. Molesto por recibir demasiadas alabanzas
ABRUMADOR|Fig. Que causa gran molestia a uno prodigándole alabanzas, atenciones, burlas, etc.
ABRUMAR|Fig. Causar gran molestia a uno prodigándole alabanzas, atenciones, burlas, etc.
ABRUPCION|Cir. Desgarro, fractura, separación
ABRUPCIÓN|Cir. Desgarro, fractura, separación
ABSCESO|Acumulación de pus en un tejido orgánico
ABSCISA|Coordenada horizontal en un plano cartesiano rectangular
ABSCISIÓN|Separación de una parte pequeña de un cuerpo con instrumento cortante
ABSOLUTO|(En ~) No, de ningún modo
ABSOLUTO|(En) No, de ningún modo
ABSOLVER|Perdonar algún cargo a un reo
ABSORBER|Aspirar los tejidos orgánicos las sustancias que contribuyen a la nutrición
ABSTEMIO|Que no bebe vino ni licores alcohólicos
ABSTRACTO|Lo contrario de concreto
ABSTRACTO|Lo contrario de ¨concreto¨
ABSTRAER|13Aislar mentalmente o considerar por separado las cualidades o una cualidad de un objeto
ABSTRAER|Aislar mentalmente o considerar por separado las cualidades o una cualidad de un objeto
ABSUELTO|Perdonado, liberado
ABSURDO|Contrario a la razón
ABUBILLA|Ave coraciforme insectívora, del tamaño de una tórtola, con el pico largo y delgado y un penacho de plumas eréctiles en la cabeza
ABUCHEAR|Manifestar ruidosamente el público su desagrado
ABUCHEAR|Manifestar ruidosamente el público su desagrado o protesta
ABUCHEO|Acción de manifestar ruidosamente el público su desagrado o protesta
ABUELITA|Diminutivo de abuela
ABUELO|Progenitor del padre o de la madre
ABULENSE|De Ávila
ABULENSES|Originarios de Ávila
ABULIA|Falta de voluntad
ABULICO|Que adolece de falta de la voluntad
ABÚLICO|Que adolece de falta de la voluntad
ABULOMANO|Que padece abulomanía o indecisión de carácter
ABULÓMANO|Que padece abulomanía o indecisión de carácter
ABULTADO|Grueso, grande, de mucho bulto
ABUNDANTE|Copioso, en gran cantidad
ABUNDAR|Haber gran cantidad de una cosa
ABUNDOSO|Copioso, abundante
ABUR|Fam. Interjección ¡Adiós!
ABURRADO|Persona  de modales toscos y groseros
ABURRIDO|Falto de estímulos, diversiones o distracciones
ABURRIR|Molestar, cansar, fastidiar
ABUSABA|Trataba de manera deshonesta a una persona de menor experiencia, fuerza, etc.
ABUSADOR|Propenso al abuso
ABUSAR|Hacer objeto de trato deshonesto a una persona de menor experiencia, fuerza, etc.
ABUSIVO|Que se introduce o practica por abuso
ABUSONA|Mujer que abusa
ABUSOS|Excesos, extralimitaciones
ABYECCIÓN|Bajeza, envilecimiento
ABYECTO|Despreciable, vil
ACABADO|Último retoque que se da a una obra
ACABIJO|Fam. Término, remate
ACABILDAR|Juntar a varias personas para algún intento
ACABOSE|(Ser una cosa el ~) Haber llegado a su último extremo
ACACIA|Planta papilionácea con flores en racimos colgantes. De algunas de sus especies se obtiene la goma arábiga
ACACOYOL|Méx. Planta gramínea con cuya semilla se hacen rosarios
ACADEMIA|Establecimiento docente de carácter privado
ACADÉMICO|Relativo a la academia
ACADEMY|(Royal ~ of Arts) Principal academia artística de Londres, constituida para alentar y mejorar la pintura, la escultura y la arquitectura en el país
ACAECER|Suceder, realizarse un hecho
ACALEFO|Medusa, aguaviva
ACALLAR|Hacer callar.// Fig. Aplacar, aquietar
ACALORADO|Fig. Apasionado, vehemente, enardecido en controversias, disputas, conversaciones, etc.
ACALORAR|Dar o causar calor
ACALORO|Acaloramiento, sofocación
ACAMPADO|Instalado o residente en un campamento
ACAMPANAR|Dar figura de campana
ACAMPAR|Alojarse en tiendas de campaña en el campo
ACAMPAR|Alojarse en tiendas de campaña en el campo
ACAMPSIA|Pat. Imposibilidad de doblar las articulaciones
ACANALADO|De figura larga y abarquillada
ACANALADO|Que tiene hendiduras o partes cóncavas, largas y rectas, en su superficie
ACANALAR|Hacer canales en alguna cosa
